850nm,640nm,940nm,580nm
893764,-1.02741e+06,1.00602e+06,-1.40409e+06
894488,-1.02808e+06,1.00465e+06,-1.40383e+06
893660,-1.02795e+06,1.00295e+06,-1.40499e+06
893620,-1.02835e+06,1.00142e+06,-1.40513e+06
894281,-1.02821e+06,1.0008e+06,-1.40385e+06
894401,-1.02895e+06,999620,-1.40434e+06
894198,-1.02901e+06,998399,-1.40469e+06
894185,-1.02947e+06,997136,-1.40398e+06
894160,-1.03014e+06,996694,-1.40361e+06
894985,-1.0291e+06,996240,-1.40327e+06
894667,-1.0293e+06,998503,-1.40336e+06
894388,-1.02792e+06,1.00429e+06,-1.4037e+06
893582,-1.02509e+06,1.01695e+06,-1.40393e+06
893614,-1.02095e+06,1.02927e+06,-1.40313e+06
892468,-1.01733e+06,1.04432e+06,-1.40413e+06
891864,-1.01516e+06,1.05353e+06,-1.40394e+06
891451,-1.01302e+06,1.06055e+06,-1.404e+06
891159,-1.01157e+06,1.06112e+06,-1.40463e+06
891199,-1.0127e+06,1.05848e+06,-1.40421e+06
891870,-1.01483e+06,1.0531e+06,-1.4053e+06
891345,-1.01667e+06,1.04664e+06,-1.40465e+06
891908,-1.0183e+06,1.04147e+06,-1.40438e+06
892112,-1.0191e+06,1.03757e+06,-1.40528e+06
892346,-1.02059e+06,1.03306e+06,-1.40518e+06
892272,-1.02195e+06,1.02926e+06,-1.40503e+06
892564,-1.02299e+06,1.02542e+06,-1.40534e+06
892933,-1.02342e+06,1.02263e+06,-1.40536e+06
893199,-1.02441e+06,1.01905e+06,-1.40553e+06
892954,-1.02495e+06,1.01754e+06,-1.40528e+06
893275,-1.02531e+06,1.01665e+06,-1.40501e+06
893187,-1.02555e+06,1.01735e+06,-1.40562e+06
893690,-1.02523e+06,1.0173e+06,-1.40479e+06
893025,-1.0252e+06,1.01756e+06,-1.40589e+06
893355,-1.02483e+06,1.01894e+06,-1.40491e+06
893673,-1.02487e+06,1.02019e+06,-1.40455e+06
892901,-1.02431e+06,1.02075e+06,-1.40561e+06
892841,-1.02468e+06,1.01956e+06,-1.40569e+06
893008,-1.02491e+06,1.01759e+06,-1.40529e+06
893592,-1.02612e+06,1.01458e+06,-1.40562e+06
894040,-1.02617e+06,1.01363e+06,-1.40569e+06
