Time(s),out1,out2,out3
2.062526856,164.70667,-102.31703,-105.18122
2.066433157,164.93999,-99.275482,-102.69285
2.070339458,164.86507,-104.97975,-104.18733
2.074245758,164.99986,-103.22357,-102.84769
2.078152059,164.95581,-100.51746,-103.47086
2.08205836,165.25146,-100.89678,-104.16838
2.085964661,165.04875,-102.79417,-103.73075
2.089870962,164.79875,-102.17852,-103.68832
2.093777263,165.15143,-103.43465,-104.09663
2.097683564,165.01933,-102.77414,-102.56435
2.101589864,165.13058,-100.13644,-103.21804
2.105496165,164.87962,-103.84726,-100.80202
2.109402466,165.45805,-101.88877,-102.90462
2.113308767,165.4313,-103.95768,-102.37395
2.117215068,165.06247,-102.08939,-101.57079
2.121121369,165.09198,-104.7653,-104.84785
2.12502767,165.19415,-102.12056,-106.34133
2.12893397,165.21498,-101.70031,-103.64259
2.132840271,164.95288,-102.88348,-103.67522
2.136746572,164.8335,-102.53818,-102.0983
2.140652873,165.2626,-103.51758,-102.76227
2.144559174,164.8252,-101.26673,-103.73448
2.148465475,164.68256,-101.00331,-105.29759
2.152371776,164.78001,-102.83792,-104.33392
2.156278077,164.84969,-104.19634,-103.09922
2.160184377,164.88362,-101.5918,-103.1981
2.164090678,164.6062,-102.21088,-104.33084
2.167996979,164.99097,-99.280281,-105.90551
2.17190328,164.78127,-101.36053,-102.88949
2.175809581,164.86578,-101.78326,-103.75879
2.179715882,164.7459,-98.968483,-104.09515
2.183622183,164.69579,-104.21353,-104.02905
2.187528483,164.84131,-99.25576,-102.79226
2.191434784,164.62944,-102.37425,-105.69837
2.195341085,164.51909,-102.7374,-102.80903
2.199247386,164.64966,-101.31311,-103.93926
2.203153687,164.59265,-102.58875,-103.50548
2.207059988,164.52881,-100.99895,-102.57841
2.210966289,164.04886,-100.41704,-104.62709
2.214872589,164.14297,-101.6946,-105.28985
2.21877889,164.03384,-99.346642,-104.82276
2.222685191,164.0782,-102.4035,-103.77299
2.226591492,164.12376,-102.87569,-104.02072
2.230497793,164.28281,-103.549,-104.2423
2.234404094,164.11888,-100.8237,-103.53851
2.238310395,163.90685,-98.8601,-105.64258
2.242216696,163.83159,-101.18243,-104.06526
2.246122996,164.04129,-101.40083,-105.61266
2.250029297,163.55005,-103.11388,-103.18473
2.253935598,163.76019,-102.18327,-105.19176
2.257841899,163.50714,-99.250153,-102.4262
2.2617482,163.60321,-99.283096,-103.89452
2.265654501,163.77318,-101.34043,-105.40704
2.269560802,163.88586,-101.80119,-103.6035
2.273467102,163.59547,-102.64243,-102.72202
2.277373403,163.39903,-102.7393,-103.2394
2.281279704,163.58997,-101.94023,-104.2971
2.285186005,163.83759,-98.958382,-103.44884
2.289092306,163.36308,-103.11515,-100.77913
2.292998607,163.57124,-104.34946,-103.49239
2.296904908,163.48386,-104.14484,-102.44925
2.300811208,163.47984,-103.3427,-102.87521
2.304717509,163.42947,-103.54385,-103.11207
2.30862381,163.83188,-102.56693,-99.366249
2.312530111,163.67957,-101.39503,-101.29902
2.316436412,163.73964,-103.8605,-102.63956
2.320342713,163.51308,-101.28096,-103.52505
2.324249014,163.99422,-102.62137,-101.62637
2.328155315,164.05615,-104.49669,-99.398071
2.332061615,164.11208,-103.61901,-102.46333
2.335967916,163.95828,-102.35967,-102.36581
2.339874217,164.00842,-102.56098,-102.63927
2.343780518,164.03091,-99.031151,-100.66908
2.347686819,164.36887,-104.53463,-102.94115
2.35159312,164.12349,-102.26382,-101.1534
2.355499421,164.42958,-104.73415,-100.05827
2.359405721,164.26941,-104.133,-101.96718
2.363312022,164.75774,-100.31756,-101.15813
